Date,num_tweets
2022-11-01,8
2022-11-02,14
2022-11-03,18
2022-11-04,19
2022-11-05,11
2022-11-06,14
2022-11-07,10
2022-11-08,17
2022-11-09,12
2022-11-10,8
2022-11-11,6
2022-11-12,12
2022-11-13,5
2022-11-14,11
2022-11-15,10
2022-11-16,14
2022-11-17,15
2022-11-18,12
2022-11-19,19
2022-11-20,13
2022-11-21,10
2022-11-22,16
2022-11-23,11
2022-11-24,13
2022-11-25,17
2022-11-26,20
2022-11-27,13
2022-11-28,16
2022-11-29,20
2022-11-30,95
2022-12-01,1553
2022-12-02,3563
2022-12-03,3059
2022-12-04,4087
2022-12-05,5810
2022-12-06,6311
2022-12-07,4769
2022-12-08,4947
2022-12-09,4620
2022-12-10,3309
2022-12-11,2887
2022-12-12,2895
2022-12-13,2783
2022-12-14,2691
2022-12-15,2514
2022-12-16,2452
2022-12-17,1737
2022-12-18,1459
2022-12-19,1835
2022-12-20,1880
2022-12-21,2061
2022-12-22,1944
2022-12-23,1852
2022-12-24,1477
2022-12-25,1124
2022-12-26,1436
2022-12-27,1728
2022-12-28,1708
2022-12-29,1683
2022-12-30,1647
2022-12-31,1297
2023-01-01,1197
2023-01-02,1548
2023-01-03,2113
2023-01-04,2745
2023-01-05,3251
2023-01-06,3153
2023-01-07,2686
2023-01-08,2597
2023-01-09,3124
2023-01-10,4294
2023-01-11,4591
2023-01-12,4096
2023-01-13,3869
2023-01-14,2899
2023-01-15,2668
2023-01-16,3583
2023-01-17,4420
2023-01-18,4223
2023-01-19,3955
2023-01-20,3796
2023-01-21,3202
2023-01-22,2901
2023-01-23,4429
2023-01-24,4560
2023-01-25,4511
2023-01-26,4332
2023-01-27,4490
2023-01-28,3205
2023-01-29,2924
2023-01-30,3502
2023-01-31,3508
2023-02-01,5214
2023-02-02,5491
2023-02-03,5210
2023-02-04,3567
2023-02-05,3269
2023-02-06,5782
2023-02-07,9383
2023-02-08,7724
